Price,Date
1.666,2018-08-20
1.666,2018-08-21
1.666,2018-08-23
1.666,2018-08-24
1.666,2018-08-25
1.666,2018-08-26
1.666,2018-08-27
1.669,2018-08-28
1.671,2018-08-29
1.671,2018-08-30
1.671,2018-09-01
1.671,2018-09-02
1.681,2018-09-03
1.681,2018-09-04
1.681,2018-09-05
1.681,2018-09-06
1.681,2018-09-07
1.681,2018-09-08
1.681,2018-09-09
1.677,2018-09-10
1.672,2018-09-11
1.672,2018-09-12
1.672,2018-09-13
1.672,2018-09-14
1.672,2018-09-15
1.672,2018-09-16
1.672,2018-09-17
1.669,2018-09-18
1.662,2018-09-19
1.662,2018-09-20
1.662,2018-09-21
1.662,2018-09-22
1.662,2018-09-23
1.662,2018-09-24
1.659,2018-09-25
1.652,2018-09-26
1.652,2018-09-27
1.652,2018-09-28
1.652,2018-09-29
1.652,2018-09-30
1.662,2018-10-02
1.664,2018-10-03
1.664,2018-10-04
1.664,2018-10-05
1.664,2018-10-06
1.664,2018-10-07
1.682,2018-10-08
1.682,2018-10-10
1.682,2018-10-11
1.682,2018-10-12
1.682,2018-10-13
1.627,2018-10-14
1.669,2018-10-16
1.656,2018-10-17
1.656,2018-10-18
1.656,2018-10-19
1.656,2018-10-20
1.656,2018-10-22
1.644,2018-10-23
1.637,2018-10-24
1.637,2018-10-25
1.637,2018-10-26
1.637,2018-10-27
1.637,2018-10-28
1.637,2018-10-29
1.634,2018-10-30
1.627,2018-10-31
1.627,2018-11-01
1.627,2018-11-02
1.627,2018-11-03
1.627,2018-11-04
1.627,2018-11-05
1.626,2018-11-06
1.622,2018-11-07
1.622,2018-11-08
1.622,2018-11-09
1.622,2018-11-10
1.622,2018-11-11
1.622,2018-11-12
1.597,2018-11-13
1.592,2018-11-14
1.592,2018-11-15
1.592,2018-11-16
1.592,2018-11-17
1.592,2018-11-19
1.581,2018-11-20
1.572,2018-11-21
1.572,2018-11-22
1.572,2018-11-23
1.572,2018-11-24
1.572,2018-11-25
1.572,2018-11-26
1.547,2018-11-27
1.539,2018-11-28
1.539,2018-11-29
1.539,2018-11-30
1.539,2018-12-01
1.539,2018-12-02
1.539,2018-12-03
1.517,2018-12-04
1.507,2018-12-05
1.507,2018-12-06
1.507,2018-12-07
1.507,2018-12-08
1.507,2018-12-09
1.506,2018-12-10
1.506,2018-12-11
1.507,2018-12-12
1.507,2018-12-13
1.507,2018-12-14
1.507,2018-12-16
1.507,2018-12-17
1.512,2018-12-18
1.512,2018-12-19
1.512,2018-12-20
1.512,2018-12-21
1.512,2018-12-22
1.512,2018-12-23
1.491,2018-12-24
1.486,2018-12-25
1.486,2018-12-26
1.486,2018-12-27
1.486,2018-12-28
1.486,2018-12-29
1.486,2018-12-30
1.484,2018-12-31
1.448,2019-01-01
1.448,2019-01-02
1.448,2019-01-03
1.448,2019-01-04
1.448,2019-01-05
1.448,2019-01-06
1.448,2019-01-07
1.474,2019-01-08
1.474,2019-01-09
1.474,2019-01-10
1.474,2019-01-11
1.474,2019-01-12
1.474,2019-01-13
1.484,2019-01-14
1.486,2019-01-15
1.486,2019-01-16
1.486,2019-01-17
1.486,2019-01-18
1.486,2019-01-19
1.486,2019-01-20
1.491,2019-01-21
1.491,2019-01-22
1.491,2019-01-23
1.491,2019-01-24
1.491,2019-01-25
1.491,2019-01-26
1.491,2019-01-28
1.491,2019-01-29
1.491,2019-01-30
1.491,2019-01-31
1.491,2019-02-01
1.491,2019-02-02
1.491,2019-02-03
1.491,2019-02-04
1.491,2019-02-05
1.491,2019-02-06
1.491,2019-02-07
1.491,2019-02-08
1.491,2019-02-09
1.491,2019-02-10
1.489,2019-02-11
1.492,2019-02-12
1.492,2019-02-13
1.492,2019-02-14
1.492,2019-02-15
1.492,2019-02-16
1.492,2019-02-17
1.502,2019-02-18
